1272	3268896,4236548,2244170,4236672,3893740
1349	3158581
1807	1299959,2610222,2610221,2610220,2610223,2610224
1811	4329035,1817521,7581,1622455,1160534
2511	1327001,2613224
2788	1155721,1155720
3261	3155126
3622	1818984,1818983
4391	3820782,4236823,1155604,1820119,4689935,3890362,1155615
4461	6549,1325529,3546707,524663,2752552,2752551
4462	4328776,1156037,1156036,1156035
4927	2245733,1817380,1154379,1154367,1807,1523637,1817381,37397,1154348,1656417,1325840,1154343,35154,1154338,1154334,1154333,15745,2754830,2610396,4085668,2752984,1154326,1325841,1816439,1154314,15328,474331
5528	3156306,3893299,1154481,1156129,1327616,1623014,3546778,1159703,3158634,599814,3888108,1158910,678851,4691060,2753390,1816458,1159573,1159572,1325417,1159569,1159568,597064,21826,3548868,2755890,1519624,1326493,2754912,1326780,162585,1523201,1523200,2754915,1154689,2265629
5775	4235367
5905	4553421,2262827,1623210,1367887,1662975
5939	3824586
6660	40432,3549192,1622544,1160284,2350989
7577	2753788,3821327,2752747,1622637,1512810,4690880,3155878
7580	3821348,1160402
7581	1326196,7581,3159310,1326183,3157027
7582	1154413,1818374,2755830,1623221,1160549,2752343,1818405,1818406,5137348,2611939,2611938,3268950,1154513,1160338
7586	1155839,1657605
7587	3893307,2754100,27540,162638
7589	814002,3820615,1326118,4236276,3548943,3271368,3155918,4329047,1522780,1820249,3155854,2610414,1160493,1160487,3895043,1523752,1160483,1753058,2262892,2262891,1160478,1159884,1818651,1818059,2248302,2752815,2753232,1818041,3714713,1657280,1817436,1820192,1820191,1820190,1818612,1123009,1159442,4327988,1820177,1326095,3271473,1621990,1817413,3271469,1817603,1326087,1326086,1326080,2755511,1326078,2752946,1522877,1326073,3893506,1817973,2752934,1326057,1818554,3820861,2755484,1817169,2752917,1159974,2262885,1159970,1326040,1820312,1820311,1159966,3893533,1514964,2247990,2752703,1523804,1655793,1622499,2246741,1817330,3894560,2611964
7590	1326807,2753819,1155713,872161,1155711,1155616,2265614,1820286,1818591,3548576,3893683,1155883,2265881,1818439,1155692,3548577,4690808
7591	1450045,1450044
7595	1656619,1156248,1523230,1748514,1155893,1527040
7603	3821120,1166776,36208
7608	1818381,3156188,3156187,2611079,1818372,2753807,1326505,1622501,37848,2755666,1155925,3269185,3269184
7610	4048301,3821168,1325709,1325708,3821169,1456768,1325700,1325703,3821257,1167158,4327484,1522897
7623	1167341,3821167,1621995,1167348,1167343
7637	521179,3546648,85200,3548441,3548440,3548435,3548434,3548433,3543859,2610736,3546723,2678064,1366904,1167059
8018	1622281,2612795,1155352,1155350,1155349,1622314,1327543,1327538,2610454
8019	312862,1818003,1817402,1276855,3154987,1817857,2754826,1326502
8633	1166696,1166698,1325576,596142,1166677,36869
8778	3158395,4328979
8810	2246269,2256411,2256410,2611912,3269114,1523019,2262827
8858	1157818
9240	1327511,1154338
9528	1523327,1155255,1523361,9546
9649	582587,1154340,815105,815102
10813	3893416,1155699,3893352,3893417
10834	682566,1518587,1167003,1166657,1183489
10853	4236576,1819051,1166781,2265789,25979,2246398,1166777,1325546,4236577
11305	3896428,3548418,4691115,4691114,2752556,3548420,3548419,2754895
12238	1523932,1523928,1523943
12899	1158546,1522791,3549230,1158537,2753997,524550,1158530,1155661,1155660,1158559,1158565,1158564,1158512,1158558,1624043
13057	1160457,1160455,43297
13124	2256409
13936	2265311,1160086
14139	31945,5137546,5137545,3156643,3268879,597361,2610734,1326760
14239	230779,3546727,230789,1166842,36226
14819	1622323,2610445,2610444,1621778
