39	5162542
52	5150409,5150408
163	5150502,5150501,5150500,5150499,1317061
167	5150524,5150523,5150522,552291,1317063
172	5150532,5150531,5150530
248	5150619
343	5150615
379	5172819,5172818,3173621,5172822,5172829,5172828,5172827,5172826,5172825,5172824,5172823,806945,5172821,5172820
392	5154736,5154735,805294,67886,5154740,5154739,5154738,5154737
464	4696274,5162710,5162709,4738353
503	5165345,5165347,5165346,1717852,5165344,5165343,5165342,5165341
506	54095,57978,2363289,54088,5151020,56423
530	5157655,5151098,5151097,5178854
578	5151089,5151090,1978009,5151091
618	49668,5172455,5172454
714	5182841
726	4483913,5151296,4319010,4266654,4482304,4482301,4482300,4037990,4738982,4318942,4482284,5151295,5151294,5151293,5151292,5151291,5151290,5151289,5151288,489870,4482223,4482270,4266644,4482268,7572,4482258,4071904,4071903,545797,1718559,4319508,230177,4037988,4037987,4037986,4037985,4037984,4037983,4482217,4482214,4482208,836916,4482197,4533021,883988,4533213,4482219,4299163,4299162,4319024,4266653,4266652,4266647,4266646,4266645,4037927,4266643,4266642,4696099,4266636,4738647,446606,4739035,4739033
778	4482997,348042,812406,369923,5151366,5151365,1440044,5185945,5185944,5185943,5185942,1440152,368721
879	1628989,475354,486275
886	2360303,5151403
894	5151418,5151417,5151416,5151415,5151414,5151413
946	5151442,5151441,5151440,5151439,5151438,5151437,5151436,5151435
956	5151447,5151446,5151445,5151449,5151448
959	5151455,5151454,5151453,5151452,5151451,5151450
962	947088,5151462,5151461,735437,735436
966	5151470,5151469,5151468,5151467,5151471,30438,5151474,5151473,5151472,1717502
970	5151481,5151480,5151479,5151478,1317076,3532982,1953774,31364,486276,5212546,717368,4263610,2351132,5151485,5151484,5151483,5151482
975	1507304,303825,5151500,54273,59747,66154,5151499,83059
981	5151504,5151503,5151502,5151501
988	5151508,5151507,5151506,5151505,805008
992	5151513,5151512,5151511
1002	5151516,5151515,2923136,5151514,5151522,5151521,5151520,5151519,5151518,5151517
1021	5150954
1041	5151540
1044	5151551,5151552,1719215,5151550,5151549,5151548
1052	5151560,5151559,5151558
1057	5174182,5174181,1954703
1061	5174207,5174209,5174208,3536768,5174206,5174205
1109	5151582,5151581,5151580,312402,297331,552299
1204	5151624,5151623
1208	818476,818475,947089,5151618,5151617
1214	5151622
1223	5151631,5151632
1252	1717508
1268	5181329,5181328
1271	1622186,1545756,486279,1718641,3888022,1545400
1367	5151708,5151707,5151706,5151705,5151704
1407	5151762,5151761,5151760,2923602
1414	5151767,5151766,5151765,5151764,5151763
1443	1480,1455,5151771,5151770
1455	5151792,5151791,805016,368609,5151793
1457	5151786,5151785,5151784,5151783,5151782,5151781,5151780,5151779,5151778,5151777,5151776,5151775,5151774,5151773,5151772
1459	5151789,5151788
1473	5151801,5151800
1480	5151804,5151803,5151802,1370203
1483	5151810,5151809,5151808,2963252,4263739,368613,368612,3656772,3656770,5151813,1627932,2364033,5145345,5145344,236522,4697007,805018,5151812,5151811
1489	805197,1440111,1718678
1497	5151884,5151883
1502	5151886,5151885
1613	368616
1617	3656802,1717480,376260,1291745,20268,443476,39664,1718635,1718634,1718633,46639,804984,1718626,172,167,3655902,368571,3840491,163,2733722,4048358,4300429,373704,2006,10139,10137,4296602,486267,11710,56399,486979,2736892,10124,45043,3656801,4300430,2735916,804934,76270,76263,49390,522264,51133,90609,4296526,3656713,45044,1291751
1627	5160828,2735557
1645	32896,27302,5154765,5154764,5154763,5154762,5154761,33497,2334,31937,22860,37707,4147,25859,30040,946,40233,1927
1655	2734146,805745,805744,805743,805742,5160928,5160927,5160926,5160925
1683	5380757,23914,5212989,582114
1699	3869678,2964176,4035032
1734	1718645,5151942,5151941,5151940
1749	882630,882629,882628,882627
1753	883443,882632,882631
1774	1440987,301260,807025
1779	5151965
1898	5151998,5151997,5151996,1952795,4533417,392,805029,5152003,5152004,805866,5152002,5152001,5152000,5151999
1899	1952684,51063,5152015,5152014,5152013,5152012,5152011,5152010,5152009,5152008,5152007,805162
1924	5152053,5152052,5152051,5152050,5152049,5152048,5152047,5152046,5152045,5152044,5152043,5152042,5152041,5152039,5152038,5152037,5152036,5152035,487672,5185956,486292,486291,805031,2924188,25633,368620,4281686,5382672
1927	5152082,5152081
1942	5152089,5152088
1962	298229,2926116,12772,4034278,5164002,5164001,5164000,5163999,5163998,5163997,5163996,5163995,5163994,5163993,5163992,5163991
1963	5172653,5172652,5172651,5172650,5172649,5172658,5172657,5172656,5172655,5172654
1964	5178325,5178324
1977	45967,5156256,5156255
1994	5152091,51126,51125,5152093,5152092
2006	4282069,76264,5152107,5152106,5152105,5152104,882634,552306,51132
2011	5152118,5152117,5152116
2017	883445
2026	5152132,4484004,5152130,5152129,5152128,5152127,5152131
2028	3176852
2059	5152156,5152155,5152154,5152153,5152152,5152151,5152150,5152149,5152148,5152147,301810
2062	805055
2092	805056,4282028
2132	5152221,5152220
2139	5152229,5152228,5152227,5152226,5152225,5152224,882636,5382674
2144	5152240,5152239,4067925,30086
2190	5152418,5152417
2191	5152280,5152279,5152278,5152277,5152276,2599470,51266,2190,337433,1370208,29297,5152281
2198	1978751,1976887,5152440,5152439,5152438,5152437
2199	5169425,1977115
2210	5152420,5152426,5152425,5152424,5152423,5152422,5152421,1546181,1977339,2598494
2211	301684,301679,63693,2598658,40643
2241	5152446
2268	5152362,5152361,5152360,5152359
2287	4738689,946163,806575,806574,1953632,487056,946523
2302	5152398
2327	5152482,5152481,5152480
2331	2360336
2333	4034281,5152498,5152497,5152496,5152495,5152494,5152493,5152492,5152491,5152490,5152489,5152488,5152487,5152486,552500,5141431
2334	5152505,5152504,5152506
2335	5178416,5178415,5178414,5178413
2367	5152529,5152540,5152539,5152538,5152537,5152536,5152535,5152534,5152533,5152532,5152531,5152530,552310,5152528
2374	5152541
2403	5152564,5152563,5152562,5152561,5152560
2418	5152567
2435	5152582,5152581,5152580,5152579
2499	2970352,5152608,2970350,5152606,5152605,5152604,5152603,5152607,1953578,1317098,1317097,1317096,1317095,1317094,1317093,4263602,5152609,1629067
2502	5152624,5152623,5152622,5152621
2515	5153530,5153529
2520	8864,72690,1976889,1441270,5152643,40005,3134,95920,36228,7267,25780,2139,83694,4048291,22618,1979618,17890,33846,19462,23401,2923237,85845,39350,5152641,52546,4067995,101632,2361971,30869,31453,66124,22192,42285,1898,552313,29277,552311,1317064,41485,67684,5152644,33992,5152642,24337,5152640,5152639,5152638,5152637,805072,19602,20388,220839,33382,10682,4067937,62133,41249,369844,368639,17797,1291200,369828,3995,34330,73925,1115067,1115066,76677,4067961,103465,25646,10665,67794,36001,3765,70939,30947,36720,10654,10652,1172360,2361744,31721,220840,10640,178680
2564	5177923,5177922,5177921
2586	5152661,5152660,5152659
2598	57522,5152665,5152664,5152666,1317100,5152669,5152668,5152667
2600	368665,5152689,5152688,5152687,5152686,5152685,5152684,5152683,5152682,805074,28420,3169259
2607	368666,5213006,2611,5152727,5152726,5152725,5152724,5152723,5152722,5152721,5152720,5152719,5152718,5152717,5152716,945829
2611	5152733,5152732,5152731,5152730
2640	5152750,5152749,5152748,5152747,5152746,5152745,5152744,5152743,5152742,5152741,5152740,5152739,3173602,805076,5152751
2642	1006638,486319,1440588,879
2644	5152758,50087,486322,486321,5152764,5152763,5152762,5152761,5152760,5152759
2645	5152769,5152772,5152768,486323,1953630,805078,5152767,5152770,5152771,4738463
2651	5151790
2658	23567,2599027,805080,805079,44307,2930735,54876,30140,31399,5152803,5152802,5152795,70743,5152799,5152798,5152797,5152796,47006,2932852,5152800,60194,5152801,3181360,51750,2667,3656201,60861,115471,910385,59791,369119,66767,70549,60167,724614,4740025,55894,4041816,2926605,805891,3869709,11812,25810,4068098,25611
2667	805083,373544,805084,5152826,5152825,5152824,5152823,5152822,5152821,5152820,5152819,5152818,805082,805081,5152815,5152816,1628470,5152817
2679	5152843,5152842,5152841,5152840,5152839,5152838,5152837
2680	1952768,5152849,5152848,5152847,5152846,805086,5152844,5152845,4738464,1718654
2711	5152867,5152866
2712	487792,487791,312412,5152887,5152886,5152885,5152884,5152883,5152882,5152881,5152880,5152879,5152878,5152877,5152876,5152875,5152874,5152873,5152872,5152871,5152870,5152869,5152868,1953606,2360225,552657,65478
2716	486330,486328,486327,2723,169424,368670,3482155
2723	5152930,5152929
2743	5152942
2763	54876,66767,59692,28089,72777,30800,2974592
2771	242937,5152950
