165	39604
376	376
413	33310
473	473,33218,33216
726	1720043,31153,230168,739
737	232488,740577
739	230171,18246
768	22353,814158,768,679379,679378,679377,679376
912	681633
918	33612
924	29484,5700,261712,912,681629,13142,683911,921,681628
932	814828,814827,814826
966	30438
970	23660
975	677649
983	975,40900
1041	5498,5497
1068	31599,8407
1118	1122,2063
1122	1125,220981,220982,1127
1132	68781,2585091
1162	8483
1186	2503
1254	600148,26912
1339	238334
1374	30239,1026
1383	597002,597598,1038
1390	17040,1068,30962
1398	814000
1399	10985,86032,2350309
1473	18437,1479,1477,1476,27096
1480	4204
1483	1483
1527	6298,206131
1614	405580,302280,1622
1621	679431,1614
1622	20428
1625	1629,1613
1640	682879
1648	1644,1640
1675	238598,682054,1999167
1690	680914,680911,680910,680909,680908,680906,680905,680924,680900,680916,680915
1712	678562
1723	5586,154439,1269683,24713
1737	1747,1746,1745,1741,1740,1738
1740	43444,6802,7928,7673,9738,16910,14651
1741	38642,41573,14716,22558,39298,37640,6448,35978,15024,12836
1745	2037,41388,13715,23634,26544
1746	26655,37712,27366,6041,38983,3023,23376,24548,43476,43445
1747	23617,36183,40363,24943,17516,36644,37063,16993,5005,6409,28075,28074,18387,18381,22326,24581
1758	679868,683527,23977,679867
1774	682474,1774
1779	1675,682051,178795,682055,699810,205653,8059,678804,682052
1802	18905,23117
1804	18909
1807	679189,679188,679187,562573,233520
1811	678733,231337
1818	154457
1881	683901
1942	682746
1947	682808,682807,682806,682805,682804
1954	20392,35547,1942,6997
1956	85762,1973,679276,236663,1969
1962	40983,14967,15078,25402,31398,719741,84847
1967	813967,678378,678377,301611
1969	1950,679273,392620
1975	1975,678426,682929,38654,678421,1967,682927,682926,15694,1962,682928
1977	996
1988	684287
1990	16762
1992	682933,17814,24643,17854,16564,966
2007	37982
2062	202474,14707,36138,3606,8792,31849,43315,34335,242402,20737,3541373,5372,37760,31923,41177,9262,37600
2063	220983,2064
2065	14969,25617,33434,28822,30866
2072	39350
2074	25723
2078	682923
2085	314632
2211	35342,33311
2418	237979,242225
2424	814517,33174,19855,442592
2454	682363,37713,23122,28405
2482	50423
2488	41945,597979
2503	41056,34403,20934,11685
2505	597599
2507	30017
2508	5496,303836,33504,85228,66318,20362,7412,682959,15069,578148,2530
2514	31485,2066,10691,15624,4316899,18609
2516	17786,26454
2520	682967,2527,2524,2523,2522,2521,31724,10286,31721
2522	20931
2523	29277,10682,19879
2526	30956,2520,33684
2527	30817,36584,36002
2530	14983
2556	27603,3854019
2586	220821,41090,22210,34282,28066
2594	1899,4002
2625	814173,29221,349464
2667	30140,30131
2668	42058,3459
2688	2690,18990,12615
2763	682887,682886,9950
2771	242937
2844	39601,2845
2845	38149,29995
2854	2862,752358
2862	2864
2864	2860,11185
2871	2874,2873,5194182,85577,678199,2886,701815,2878,2896,679420
2878	37889,2880,272048,687751
2886	151482
2888	2892
2896	679425
2902	25958
2903	2920,2919,2915,32924,2922,2921
2905	3202977,2903
2911	2913,2909,2928
2915	2917,2910
2921	2911
2932	2934
2957	34634
3018	3012,3009,3006,815017
3035	973,970
3062	682498,682497,682496,682518,920312,21948
3063	31268,162318
3064	814985
3114	10449,680369
3184	3185
3185	15032,162319
3188	814245
3204	3448,279516,3308,3232,3205,3451,3404
3209	1874263,3212,3211
3232	4599,3240,3238,3237,3236,3235,3233,26458,35609,1744619
3235	28741,18242
3240	14806,85795
3241	22144,3253,4358,1804,29122,3244,32936
3253	242554,19161
3289	26457,3290
3290	76652
3320	2092,22145,18593,41361,3339
3404	3416,3158
3416	3374
3451	1367
3459	31964,34650
3537	234471,234469,679447
3591	3595,3594,3593,3592
3592	85202,85201
3601	3591
3606	3596
3647	21705
3671	41698,36243,4684,28971,22804,34366,43402
3695	23545
3704	40203,26231,37913
3753	331487,684282,3753
3755	206497
3765	6938
3793	25526,41600,7285,20164,34627,223792
3811	39231,232197,16385,428977
3842	682605,3847
3881	37935
3893	185317
3903	10395,21585,3704
3923	39005,35950
3968	11177
